1,2024-09-20,Norfills,Randolph
name,category,owner,price,quantity,tax,totalPrice
Allens Peach CKT,Beverage,Shared,0.88,1,0,0.88
Doritos Chips,Other,Mike,3.99,1,0.13,4.5087
Mntry Jck Jlpeno,Other,Shared,6.79,1,0,6.79
GRD A Large,Dairy/Egg,Shared,4.99,1,0,4.99
Onion Green,FFV,Shared,0.99,1,0,0.99
Rud Bread Rye,Staples,Shared,2.99,1,0,2.99
#ENDORDER
2,2024-09-24,NOFRILLS,Mike
name,category,owner,price,quantity,tax,totalPrice
Turkey Gravy,Other,Shared,0.79,2,0,1.58
Simp Juc Org P F,Beverage,Shared,2.99,1,0,2.99
GRD A Large,Dairy/Egg,Shared,4.99,1,0,4.99
Neilson 2% 4LT,Dairy/Egg,Shared,6.08,1,0,6.08
PC Caesar SLD KT,Dairy/Egg,Shared,3.49,1,0,3.49
Onion Yellow,FFV,Shared,2.99,1,0,2.99
Lou Phlly Steak,Meat,Shared,6.99,1,0,6.99
Ditaliano Bread,Beverage,Shared,2.99,1,0,2.99
#ENDORDER
3,2024-10-01,Freshco,Mike
name,category,owner,price,quantity,tax,totalPrice
Chicken Wieners,Meat,Shared,1.99,1,0,1.99
Chicken Wieners,Meat,Shared,1.99,1,0,1.99
Lettuce Iceberg,FFV,Shared,2.99,1,0,2.99
Ex/Crsp Straight Spc,Staples,Shared,2.99,1,0,2.99
Ex/Crsp Crnkle Cut,Staples,Shared,2.99,1,0,2.99
CocaCola Diet,Beverage,Shared,3.25,1,0.13,3.6725
Lnght Sizzl in Chsbrg,Other,Mike,3.49,1,0.13,3.9437
Mutel la Bars B Ready,Other,Mike,4.49,1,0,4.49
Chs Pizza Mozz 28%,Dairy/Egg,Shared,4.88,1,0,4.88
Pzza Pps Pepprni Bcn,Dairy/Egg,Shared,5.49,1,0,5.49
Whole BBQ Chicken,Meat,Shared,10.99,1,0.13,12.4187
#ENDORDER
4,2024-10-06,Bestco,Mike
name,category,owner,price,quantity,tax,totalPrice
Roasted Pork,Meat,Shared,11.87,1,0.13,13.4131
Sunrise Medium Firm Tof,Other,Shared,2,2,0,4
Chewy Instant Japanese St,Other,Shared,2.99,1,0,2.99
Fuji Apple (China),FFV,Shared,5.58,1.79,0,9.9882
Tan Tan Xiang Chili Paste,Other,Randolph,4.59,1,0,4.59
BX Nice Soup Instant Nood,Staples,Shared,3.99,1,0,3.99
Bx Sauerkraut Beef Flavor,Staples,Shared,3.99,1,0,3.99
KD Original Macaroni & Ch,Other,Shared,0.99,4,0,3.96
Thick Broad Bean 500g,Staples,Shared,2.99,1,0,2.99
Fresh Beef Finger Meat Fa,Meat,Shared,6.44,6.98,0,44.9512
Yellow Hot Peper,FFV,Shared,3.51,1,0,3.51
Yellow Hot Peper,FFV,Shared,3.89,1,0,3.89
Golden Onion,FFV,Shared,1.99,1,0,1.99
Ginger (Loose),FFV,Shared,3.99,0.31,0,1.2369
#ENDORDER
5,2024-10-30,SkyFarm,Mike
name,category,owner,price,quantity,tax,totalPrice
Hami Melon,FFV,Shared,0.98,7.7,0,7.546
Meat,Meat,Shared,9.76,1,0,9.76
Yellow Peppers Hot,FFV,Shared,3.83,1,0,3.83
#ENDORDER
6,2024-11-06,Norfills,Randolph
name,category,owner,price,quantity,tax,totalPrice
CD Ginger Ale,FFV,Shared,2.69,1,0.13,3.0397
PC Orng Juice Np,Beverage,Shared,3.99,1,0,3.99
Large Eggs,Dairy/Egg,Shared,3.93,1,0,3.93
Neilson 2% 4LT,Dairy/Egg,Shared,6.08,1,0,6.08
Banana,FFV,Shared,1.3,1.46,0,1.898
Baguette Wheat,Staples,Shared,0.99,1,0,0.99
NN White Bread,Staples,Shared,1.97,1,0,1.97
#ENDORDER
7,2024-11-09,Norfills,Mike
name,category,owner,price,quantity,tax,totalPrice
GRD A LARGE,Dairy/Egg,Shared,6.91,1,0,6.91
Neilson 2% 4LT,Dairy/Egg,Shared,6.08,1,0,6.08
ONION YELLOW,FFV,Shared,1.99,1,0,1.99
BANANA,FFV,Shared,1.35,1.3,0,1.755
CUCUMBER ENGLISH,FFV,Shared,0.79,3,0,2.37
GROUND PORK,Meat,Shared,7.95,1,0,7.95
BAGUETTE WHITE,Staples,Shared,0.99,1,0,0.99
NN White Bread,Staples,Shared,1.99,1,0,1.99
#ENDORDER
8,2024-11-25,Walmat,Randolph
name,category,owner,price,quantity,tax,totalPrice
Apple,FFV,Shared,3,5,0,15
#ENDORDER
